Account_A,Account_B,Account_C,Total_Volume
10_821FBD2C0,99677_824BF8940,18_8225A6290,46348267.031500004
1125491_83000DC40,2127147_82F31CAE0,239197_83000D0D0,87345.98520000001
1125491_83000DC40,2127147_82F31CAE0,111_82E921920,78147.44520000002
111_82E921920,1125491_83000DC40,2127147_82F31CAE0,78147.4452
1125491_83000DC40,2127147_82F31CAE0,239197_83000D0D0,66529.2816
10_821F8B2E0,27_822286580,18_821F8B330,63099.061
10_821F8B2E0,192419_82228E410,18_821F8B330,62335.3084
111_82E921920,1125491_83000DC40,2127147_82F31CAE0,57330.74160000001
1125491_83000DC40,2127147_82F31CAE0,111_82E921920,57330.7416
110_82E6C08C0,29_82DCAA2B0,1125491_83000DC40,53727.69600000001
1125491_83000DC40,110_82E6C08C0,29_82DCAA2B0,53727.696
110_82E6C08C0,239197_83000D0D0,1125491_83000DC40,50765.68620000001
1125491_83000DC40,110_82E6C08C0,239197_83000D0D0,50765.68620000001
10057_807D36770,2310_80038CAF0,16030_804C15830,50282.63
10_821F8B2E0,27_822286580,18_821F8B330,49220.6534
111_82E921920,110_82E6C08C0,239197_83000D0D0,48690.04560000001
110_82E6C08C0,239197_83000D0D0,111_82E921920,48690.045600000005
10_821F8B2E0,192419_82228E410,18_821F8B330,48456.9008
1125491_83000DC40,2127147_83000CAC0,29_82DCAA2B0,48068.064
10_821F8B2E0,18_821F8B330,293268_8222D5910,47240.444
110_82E6C08C0,239197_83000D0D0,2129145_83000CEE0,47012.5368
110_82E6C08C0,239197_83000D0D0,2127249_82E921690,46839.4452
10_821F8B2E0,192419_82228E410,192597_82228E460,46765.6037
10_821F8B2E0,192419_82228E410,196972_824B511E0,46655.609
110_82E6C08C0,2129461_83000DC90,111_82E921920,46642.0746
111_82E921920,110_82E6C08C0,2129461_83000DC90,46642.0746
10057_807D36770,2310_80038CAF0,718_800E96070,46539.35
110_82E6C08C0,239197_83000D0D0,2127249_82E921690,46521.906
111606_807309BD0,25961_80512AD10,11_807309B30,46447.41
10057_807D36770,20_800E95FD0,16030_804C15830,46418.66
10_821FBD2C0,192597_8222D14F0,293268_822266F70,46360.2324
10_821F8B2E0,27_822286580,192419_8222D5BD0,46158.505600000004
110_82E6C08C0,239197_83000D0D0,126614_82E6C0F40,45957.81060000001
110_82E6C08C0,239197_83000D0D0,29_82DCAA2B0,45817.09860000001
110_82E6C08C0,111_82E921920,1125491_83000DC40,45375.54120000001
111_82E921920,1125491_83000DC40,110_82E6C08C0,45375.54120000001
1125491_83000DC40,110_82E6C08C0,111_82E921920,45375.5412
10057_807D36770,20_800E95FD0,16030_804C15830,45297.24
10_821F8B2E0,27_822286580,192419_82228E410,45186.85399999999
10_821F8B2E0,192419_82228E410,192419_8222D5BD0,45128.497500000005
10_821F8B2E0,18_821F8B330,293268_8222D5910,44815.620299999995
10_821F8B2E0,27_822286580,192419_82228E410,44697.523
110_82E6C08C0,29_82DCAA2B0,126614_82E6C0F40,44497.431
110_82E6C08C0,239197_83000D0D0,29_82E2CB5B0,44389.0566
10_821F8B2E0,192419_82228E410,293268_8222D5910,44207.3157
10_821FBD2C0,210789_8076420F0,293268_822266F70,43946.5849
10_821FBD2C0,210789_8076420F0,18_8225A6290,43941.797000000006
10_821F8B2E0,192419_82228E410,196972_824B511E0,43449.113
1125491_83000DC40,2127147_83000CAC0,239197_83000D0D0,43419.05100000001
10_821FBD2C0,210789_8076420F0,293268_822266F70,43404.7489
10_821FBD2C0,210789_8076420F0,18_8225A6290,43399.961
10_821F8B2E0,27_822286580,192597_82228E460,43046.726200000005
110_82E6C08C0,239197_83000D0D0,126614_82E6C0F40,43034.987400000005
10_821FBD2C0,192597_8222D14F0,99677_824BF8940,42622.5081
10057_807D36770,2310_80038CAF0,20_800E95FD0,41434.630000000005
10_821F8B2E0,27_822286580,293268_8222D5910,41352.6605
111606_807309BD0,33356_80F5D8E50,11_807309B30,41185.92999999999
10_821F8B2E0,18_821F8B330,293268_8222D5910,40885.1354
110_82E6C08C0,2127147_83000CAC0,29_82DCAA2B0,40715.2218
10_821FBD2C0,192597_8222D14F0,24168_8076422E0,40674.2126
110_82E6C08C0,126614_83000D8D0,126614_82E6C0F40,40672.5132
111_82E921920,1125491_83000DC40,110_82E6C08C0,40265.4846
1125491_83000DC40,110_82E6C08C0,111_82E921920,40265.4846
110_82E6C08C0,111_82E921920,1125491_83000DC40,40265.484599999996
10_821F8B2E0,18_821F8B330,192597_82228E460,39908.3657
11194_813592DF0,14_80611ED40,11848_81D830920,39892.9268
10_821F8B2E0,18_821F8B330,192597_82228E460,39846.4786
10057_807D36770,7030_80538C0B0,718_800E96070,39329.41
110_82E6C08C0,2129461_83000DC90,1125491_83000DC40,39131.2614
1125491_83000DC40,110_82E6C08C0,2129461_83000DC90,39131.2614
112191_81AD58DD0,22441_808DC9FC0,2408_804E37300,38502.291600000004
10_821F8B2E0,18_821F8B330,293268_8222D5910,38460.3117
111_82E921920,29_82DD77190,239197_83000D0D0,38347.583
10_821F8B2E0,192419_82228E410,293268_8222D5910,37852.0071
10_821F8B2E0,18_821F8B330,192597_82228E460,37483.542
10_821F8B2E0,18_821F8B330,192597_82228E460,37421.6549
110_82E6C08C0,2127249_82E921690,126614_82E6C0F40,37211.61840000001
10_821F8B2E0,27_822286580,293268_8222D5910,34997.351899999994
1125491_83000DC40,2125369_82DD5AA30,126614_82E6C0F40,33793.4256
